image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico
wg_39_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00078.jpg,the hurt person is on the left and the helpful person is on the right,0.1779853,relación espacial,5,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.178). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_39_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00079.jpg,the helpful person is on the left and the hurt person is on the right,0.1916578,relación espacial,5,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.192). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_49_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00099.jpg,the person wears a hat but it doesn't,0.2044357,otro,5,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.204). Negación/ausencia: CLIP tiende a puntuar por presencia de conceptos, no por su negación."
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,a person watches an animal,0.2109277,acción,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «acción»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.211). Rol agente/paciente (quién hace qué a quién); el dual-encoder no modela la estructura predicado-argumento.
wg_4_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00009.jpg,the person with earrings pays the person without earrings,0.21252833,otro,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.213). Negación/ausencia: CLIP tiende a puntuar por presencia de conceptos, no por su negación."
wg_24_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00048.jpg,the person closer to the camera weightlifts and the person farther from the camera runs,0.21602523,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.216). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_11_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00022.jpg,there is a table below someone,0.21725006,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.217). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,the person without earrings pays the person with earrings,0.2178793,otro,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.218). Negación/ausencia: CLIP tiende a puntuar por presencia de conceptos, no por su negación."
wg_21_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00042.jpg,a person sits and a dog stands,0.22072685,acción,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «acción»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.221). Rol agente/paciente (quién hace qué a quién); el dual-encoder no modela la estructura predicado-argumento.
wg_35_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00071.jpg,a rectangular sign is above a circular sign,0.22139809,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.221). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
