experimento,modelo,datos,metrica,resultado,ic95_lo,ic95_hi,azar,interpretacion
auditoria-metrica,CLIP ViT-B/32 (laion2b),400 pares Winoground oficial,text,0.3475,0.2999,0.3975,0.25,"IC95 [0.300, 0.398]; ¿el límite inferior supera el azar (0.250)? sí."
auditoria-metrica,CLIP ViT-B/32 (laion2b),400 pares Winoground oficial,image,0.11,0.08,0.1425,0.25,"IC95 [0.080, 0.142]; ¿el límite inferior supera el azar (0.250)? no."
auditoria-metrica,CLIP ViT-B/32 (laion2b),400 pares Winoground oficial,group,0.075,0.05,0.1025,0.1667,"IC95 [0.050, 0.102]; ¿el límite inferior supera el azar (0.167)? no."
auditoria-metrica,CLIP ViT-B/32 (laion2b),400 pares Winoground oficial,group_match,0.675,0.63,0.72,0.5,"IC95 [0.630, 0.720]; ¿el límite inferior supera el azar (0.500)? sí."
auditoria-metrica,CLIP ViT-B/16 (datacomp_xl),400 pares Winoground oficial,text,0.2975,0.2525,0.3425,0.25,"IC95 [0.253, 0.343]; ¿el límite inferior supera el azar (0.250)? sí."
auditoria-metrica,CLIP ViT-B/16 (datacomp_xl),400 pares Winoground oficial,image,0.0875,0.06,0.115,0.25,"IC95 [0.060, 0.115]; ¿el límite inferior supera el azar (0.250)? no."
auditoria-metrica,CLIP ViT-B/16 (datacomp_xl),400 pares Winoground oficial,group,0.0725,0.0499,0.0975,0.1667,"IC95 [0.050, 0.098]; ¿el límite inferior supera el azar (0.167)? no."
auditoria-metrica,CLIP ViT-B/16 (datacomp_xl),400 pares Winoground oficial,group_match,0.6425,0.595,0.6875,0.5,"IC95 [0.595, 0.688]; ¿el límite inferior supera el azar (0.500)? sí."
auditoria-metrica,CLIP ViT-L/14 (openai),400 pares Winoground oficial,text,0.2875,0.2449,0.3325,0.25,"IC95 [0.245, 0.333]; ¿el límite inferior supera el azar (0.250)? no."
auditoria-metrica,CLIP ViT-L/14 (openai),400 pares Winoground oficial,image,0.11,0.0825,0.1425,0.25,"IC95 [0.083, 0.142]; ¿el límite inferior supera el azar (0.250)? no."
auditoria-metrica,CLIP ViT-L/14 (openai),400 pares Winoground oficial,group,0.085,0.06,0.1125,0.1667,"IC95 [0.060, 0.113]; ¿el límite inferior supera el azar (0.167)? no."
auditoria-metrica,CLIP ViT-L/14 (openai),400 pares Winoground oficial,group_match,0.665,0.6175,0.71,0.5,"IC95 [0.618, 0.710]; ¿el límite inferior supera el azar (0.500)? sí."
potencia-estadistica,(todos),"n=400, alfa=0.05, potencia=0.80",dif_minima_detectable_text,0.0917,,,,Dos modelos que difieran menos de 9.2 puntos en text no son distinguibles con 400 ejemplos.
potencia-estadistica,(todos),"n=400, alfa=0.05, potencia=0.80",dif_minima_detectable_image,0.0601,,,,Dos modelos que difieran menos de 6.0 puntos en image no son distinguibles con 400 ejemplos.
potencia-estadistica,(todos),"n=400, alfa=0.05, potencia=0.80",dif_minima_detectable_group,0.053,,,,Dos modelos que difieran menos de 5.3 puntos en group no son distinguibles con 400 ejemplos.
potencia-estadistica,(todos),"n=400, alfa=0.05, potencia=0.80",dif_minima_detectable_group_match,0.0938,,,,Dos modelos que difieran menos de 9.4 puntos en group_match no son distinguibles con 400 ejemplos.
margenes-de-decision,CLIP ViT-B/32 (laion2b),1600 comparaciones (4 por ejemplo),margen_mediano,0.01542,0.00099,0.07209,,"La mitad de las decisiones se resuelve por un margen menor a 0.0154, sobre similitudes en [0.027, 0.430]. El scorer usa `>` estricto: no hay empates exactos, pero las decisiones no son holgadas."
margenes-de-decision,CLIP ViT-B/16 (datacomp_xl),1600 comparaciones (4 por ejemplo),margen_mediano,0.01345,0.00125,0.06776,,"La mitad de las decisiones se resuelve por un margen menor a 0.0134, sobre similitudes en [0.047, 0.392]. El scorer usa `>` estricto: no hay empates exactos, pero las decisiones no son holgadas."
margenes-de-decision,CLIP ViT-L/14 (openai),1600 comparaciones (4 por ejemplo),margen_mediano,0.01322,0.00082,0.05014,,"La mitad de las decisiones se resuelve por un margen menor a 0.0132, sobre similitudes en [0.060, 0.336]. El scorer usa `>` estricto: no hay empates exactos, pero las decisiones no son holgadas."
