image_id,image_path,caption,clipscore_simplificado
wg_39_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00078.jpg,the hurt person is on the left and the helpful person is on the right,0.1779853
wg_39_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00079.jpg,the helpful person is on the left and the hurt person is on the right,0.1916578
wg_49_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00099.jpg,the person wears a hat but it doesn't,0.2044357
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,a person watches an animal,0.2109277
wg_4_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00009.jpg,the person with earrings pays the person without earrings,0.21252833
wg_24_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00048.jpg,the person closer to the camera weightlifts and the person farther from the camera runs,0.21602523
wg_11_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00022.jpg,there is a table below someone,0.21725006
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,the person without earrings pays the person with earrings,0.2178793
wg_21_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00042.jpg,a person sits and a dog stands,0.22072685
wg_35_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00071.jpg,a rectangular sign is above a circular sign,0.22139809
wg_18_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00037.jpg,there is less milk than orange juice,0.22249238
wg_37_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00074.jpg,soft shoes are on a smooth floor,0.22253065
wg_47_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00094.jpg,the sailboat sails close but the beach is far away,0.22265962
wg_46_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00092.jpg,a person is drinking now and eating later,0.22629471
wg_24_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00049.jpg,the person closer to the camera runs and the person farther from the camera weightlifts,0.2263113
wg_42_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00085.jpg,the smaller person wears yellow and the larger person does not,0.2272481
