id,caption_0,caption_1,tag,secondary_tag,collapsed_tag,num_main_preds
0,an old person kisses a young person,a young person kisses an old person,Adjective-Age,,Relation,1
1,the taller person hugs the shorter person,the shorter person hugs the taller person,Adjective-Size,,Relation,1
2,the masked wrestler hits the unmasked wrestler,the unmasked wrestler hits the masked wrestler,Adjective-Manner,Series,Relation,1
3,a person watches an animal,an animal watches a person,Noun,,Object,1
4,the person without earrings pays the person with earrings,the person with earrings pays the person without earrings,"Negation, Scope",Morpheme-Level,Relation,1
5,a bird eats a snake,a snake eats a bird,Noun,,Object,1
6,"a plant was harmed by another organism, and that organism broke the plant into pieces","another organism was harmed by a plant, and that plant broke the organism into pieces","Determiner-Numeral, Noun Phrase",,Object,1
7,a bottle is in water,water is in a bottle,Noun Phrase,,Object,1
8,a tree smashed into a car,a car smashed into a tree,Noun,,Object,1
9,people fall on the leaves,the leaves fall on people,Noun Phrase,,Object,1
10,the sail rests below the water,the water rests below the sail,Noun,Series,Object,1
11,there is a table below someone,there is someone below a table,Noun Phrase,,Object,1
12,the image shows a computer on top of books,the image shows books on top of a computer,Noun Phrase,,Object,1
13,a caterpillar with some plants,a plant with some caterpillars,Noun,Morpheme-Level,Object,1
14,there is a mug in some grass,there is some grass in a mug,"Determiner-Numeral, Noun Phrase",,Object,1
15,there are more skiers than snowboarders,there are more snowboarders than skiers,Noun,,Object,1
16,there are fewer forks than spoons,there are fewer spoons than forks,Noun,,Object,1
17,there are more ladybugs than flowers,there are more flowers than ladybugs,Noun,,Object,1
18,there is less orange juice than milk,there is less milk than orange juice,Noun,,Object,1
19,there is more dirt than empty space in the jar,there is more empty space than dirt in the jar,Noun,,Object,1
20,there is a bit less milk chocolate than white chocolate,there is a bit less white chocolate than milk chocolate,Adjective-Manner,,Relation,1
21,a person sits and a dog stands,a person stands and a dog sits,Verb-Intransitive,,Relation,2
22,The person with more facial hair lies awake while the other sleeps,The person with more facial hair sleeps while the other lies awake,Verb-Intransitive,,Relation,2
23,the person in the middle is floating and some others are standing,the person in the middle is standing and some others are floating,Verb-Intransitive,Series,Relation,2
24,the person closer to the camera weightlifts and the person farther from the camera runs,the person closer to the camera runs and the person farther from the camera weightlifts,Verb-Intransitive,,Relation,2
25,the person with the white collared shirt waters the plant while the other holds it,the person with the white collared shirt holds the plant while the other waters it,Verb-Transitive,,Relation,2
26,the taller person chops food and the shorter person eats food,the taller person eats food and the shorter person chops food,Verb-Transitive,,Relation,2
27,the person with the ponytail packs stuff and other buys it,the person with the ponytail buys stuff and other packs it,Verb-Transitive,Series,Relation,2
28,a person walking in a field of yellow flowers with a red dress,a person walking in a field of red flowers with a yellow dress,Adjective-Color,,Relation,1
29,a brown dog is on a white couch,a white dog is on a brown couch,Adjective-Color,,Relation,1
30,a blue bird is next to a red berry,a red bird is next to a blue berry,Adjective-Color,,Relation,1
31,The red book is above the yellow book and below the blue book,The yellow book is above the blue book and below the red book,Adjective-Color (3-way swap),Symbolic,Relation,2
32,astronauts in blue suits with a red planet in the background,astronauts in red suits with a blue planet in the background,Adjective-Color,Symbolic,Relation,1
33,the square table has a round base,the round table has a square base,Adjective-Shape,,Relation,1
34,pointy bushes are behind rectangular bushes,rectangular bushes are behind pointy bushes,Adjective-Shape,,Relation,1
35,a circular sign is above a rectangular sign,a rectangular sign is above a circular sign,Adjective-Shape,,Relation,1
36,a wood chess piece rests on metal objects,a metal chess piece rests on wood objects,Adjective-Texture,,Relation,1
37,soft shoes are on a smooth floor,smooth shoes are on a soft floor,Adjective-Texture,,Relation,1
38,the happy person is on the right and the sad person is on the left,the sad person is on the right and the happy person is on the left,Adjective-Animate,,Relation,2
39,the hurt person is on the left and the helpful person is on the right,the helpful person is on the left and the hurt person is on the right,Adjective-Animate,,Relation,2
40,the more content person has the healthier food and the less content person has the less healthy food,the less content person has the healthier food and the more content person has the less healthy food,Adjective-Animate,,Relation,2
41,the orange lollipop is sad and the red lollipop is surprised,the orange lollipop is surprised and the red lollipop is sad,Adjective-Animate,"Symbolic, Series",Relation,2
42,the larger person wears yellow and the smaller person does not,the smaller person wears yellow and the larger person does not,Adjective-Size,,Relation,2
43,a big cat is next to a small dog,a small cat is next to a big dog,Adjective-Size,,Relation,1
44,the heavy oncoming traffic is contrasted with the light outgoing traffic,the light oncoming traffic is contrasted with the heavy outgoing traffic,Adjective-Weight,,Relation,1
45,a cold drink on a hot day,a hot drink on a cold day,Adjective-Temperature,,Relation,1
46,a person is drinking now and eating later,a person is drinking later and eating now,Adverb-Temporal,,Relation,2
47,the sailboat sails close but the beach is far away,the sailboat sails far away but the beach is close,Adverb-Spatial Phrase,,Relation,2
48,the passenger is riding inattentive to the road and the driver is driving attentive to the road,the passenger is riding attentive to the road and the driver is driving inattentive to the road,"Negation, Scope",,Relation,2
49,it wears a hat but the person doesn't,the person wears a hat but it doesn't,"Pronoun, Noun Phrase",,Object,2
50,the person with green legs is running quite slowly and the red legged one runs faster,the person with green legs is running faster and the red legged one runs quite slowly,"Adjective-Speed Phrase, Verb-Intransitive","Symbolic, Series",Relation,2
51,a person is in the water and close to the sand,a person is close to the water and in the sand,Preposition Phrase,,Relation,2
52,a frog is above rocks which are under the water,a frog is under rocks which are above the water,Preposition,,Relation,2
53,driving off the road and on the unpaved terrain,driving on the road and off the unpaved terrain,Preposition,,Relation,2
54,someone is in a helicopter with a car,someone is with a helicopter in a car,Preposition,Symbolic,Relation,1
55,the green one can fit inside the blue one and the blue one can fit outside the green one,the green one can fit outside the blue one and the blue one can fit inside the green one,Preposition,Symbolic,Relation,2
56,jumping away from the photographer and towards the others,jumping towards the photographer and away from the others,Preposition Phrase,,Relation,2
57,someone bakes the dough before the dough is eaten,the dough is eaten before someone bakes the dough,Sentence,,Relation,2
58,it hatched before it was eaten,it was eaten before it hatched,Verb-Intransitive,,Relation,2
59,there are three bananas and two apples,there are two bananas and three apples,Determiner-Numeral,,Relation,1
60,someone has loaded their plate with one of the toast slices and two of the eggs,someone has loaded their plate with two of the toast slices and one of the eggs,Determiner-Numeral,,Relation,1
61,there are three people and two windows,there are two people and three windows,Determiner-Numeral,Symbolic,Relation,1
